LocationKeyStartPoint,LocationKeyEndPoint,MetersBetweenPoints,MetersBetweenPoints_norm,LocationLookupKey,ResourceKey
2919,2919,0,0,2919|2919,1501
2922,2919,2962.61,1,2922|2919,1501
2923,2919,2815.39,1,2923|2919,1501
0,2919,1817.82,0.97,0|2919,1501
2919,2922,2962.61,1,2919|2922,1501
2922,2922,0,0,2922|2922,1501
2923,2922,1915.15,0.98,2923|2922,1501
0,2922,1372.9,0.96,0|2922,1501
2919,2923,2815.39,1,2919|2923,1501
2922,2923,1915.15,0.98,2922|2923,1501
2923,2923,0,0,2923|2923,1501
0,2923,1265.34,0.96,0|2923,1501
2919,0,1817.82,0.97,2919|0,1501
2922,0,1372.9,0.96,2922|0,1501
2923,0,1265.34,0.96,2923|0,1501
0,0,0,0,0|0,1501
0,0,0,0,0|0,1502
3603,0,30312.55,0.58,3603|0,1502
4429,0,28241.42,0.56,4429|0,1502
3251,0,54237.11,0.77,3251|0,1502
3299,0,30035.88,0.58,3299|0,1502
3301,0,40582.03,0.66,3301|0,1502
0,3603,30312.55,0.58,0|3603,1502
3603,3603,0,0,3603|3603,1502
4429,3603,6562.54,0.39,4429|3603,1502
3251,3603,83176.25,1,3251|3603,1502
3299,3603,1324.44,0.35,3299|3603,1502
3301,3603,69543.14,0.89,3301|3603,1502
0,4429,28241.42,0.56,0|4429,1502
3603,4429,6562.54,0.39,3603|4429,1502
4429,4429,0,0,4429|4429,1502
3251,4429,82231.09,0.99,3251|4429,1502
3299,4429,7653.67,0.4,3299|4429,1502
3301,4429,65765.55,0.86,3301|4429,1502
0,3251,54237.11,0.77,0|3251,1502
3603,3251,83176.25,1,3603|3251,1502
4429,3251,82231.09,0.99,4429|3251,1502
3251,3251,0,0,3251|3251,1502
3299,3251,82580.13,1,3299|3251,1502
3301,3251,37868.75,0.64,3301|3251,1502
0,3299,30035.88,0.58,0|3299,1502
3603,3299,1324.44,0.35,3603|3299,1502
4429,3299,7653.67,0.4,4429|3299,1502
3251,3299,82580.13,1,3251|3299,1502
3299,3299,0,0,3299|3299,1502
3301,3299,69548.91,0.89,3301|3299,1502
0,3301,40582.03,0.66,0|3301,1502
3603,3301,69543.14,0.89,3603|3301,1502
4429,3301,65765.55,0.86,4429|3301,1502
3251,3301,37868.75,0.64,3251|3301,1502
3299,3301,69548.91,0.89,3299|3301,1502
3301,3301,0,0,3301|3301,1502
3215,3215,0,0,3215|3215,1503
3226,3215,2641.75,0.28,3226|3215,1503
2924,3215,3217.31,0.28,2924|3215,1503
1256,3215,5913.63,0.29,1256|3215,1503
1625,3215,93809.96,0.72,1625|3215,1503
4410,3215,83131.52,0.66,4410|3215,1503
0,3215,14669.02,0.34,0|3215,1503
3215,3226,2641.75,0.28,3215|3226,1503
3226,3226,0,0,3226|3226,1503
2924,3226,1703.87,0.27,2924|3226,1503
1256,3226,3352.1,0.28,1256|3226,1503
1625,3226,96024.04,0.73,1625|3226,1503
4410,3226,80790.9,0.65,4410|3226,1503
0,3226,14699.97,0.34,0|3226,1503
3215,2924,3217.31,0.28,3215|2924,1503
3226,2924,1703.87,0.27,3226|2924,1503
2924,2924,0,0,2924|2924,1503
1256,2924,3143.38,0.28,1256|2924,1503
1625,2924,97026.11,0.73,1625|2924,1503
4410,2924,81527.45,0.66,4410|2924,1503
0,2924,16401.97,0.34,0|2924,1503
3215,1256,5913.63,0.29,3215|1256,1503
3226,1256,3352.1,0.28,3226|1256,1503
2924,1256,3143.38,0.28,2924|1256,1503
1256,1256,0,0,1256|1256,1503
1625,1256,99283.65,0.74,1625|1256,1503
4410,1256,78541.25,0.64,4410|1256,1503
0,1256,16387.77,0.34,0|1256,1503
3215,1625,93809.96,0.72,3215|1625,1503
3226,1625,96024.04,0.73,3226|1625,1503
2924,1625,97026.11,0.73,2924|1625,1503
1256,1625,99283.65,0.74,1256|1625,1503
1625,1625,0,0,1625|1625,1503
4410,1625,152790.21,1,4410|1625,1503
0,1625,87641.25,0.69,0|1625,1503
3215,4410,83131.52,0.66,3215|4410,1503
3226,4410,80790.9,0.65,3226|4410,1503
2924,4410,81527.45,0.66,2924|4410,1503
1256,4410,78541.25,0.64,1256|4410,1503
1625,4410,152790.21,1,1625|4410,1503
4410,4410,0,0,4410|4410,1503
0,4410,76451.13,0.63,0|4410,1503
3215,0,14669.02,0.34,3215|0,1503
3226,0,14699.97,0.34,3226|0,1503
2924,0,16401.97,0.34,2924|0,1503
1256,0,16387.77,0.34,1256|0,1503
1625,0,87641.25,0.69,1625|0,1503
4410,0,76451.13,0.63,4410|0,1503
0,0,0,0,0|0,1503
0,0,0,0,0|0,1504
3553,0,1629.93,0.97,3553|0,1504
3038,0,1629.81,0.97,3038|0,1504
0,3553,1629.93,0.97,0|3553,1504
3553,3553,0,0,3553|3553,1504
3038,3553,3259.74,1,3038|3553,1504
0,3038,1629.81,0.97,0|3038,1504
3553,3038,3259.74,1,3553|3038,1504
3038,3038,0,0,3038|3038,1504
3415,3415,0,0,3415|3415,1505
3607,3415,31735.87,1,3607|3415,1505
0,3415,15863.12,0.97,0|3415,1505
3415,3607,31735.87,1,3415|3607,1505
3607,3607,0,0,3607|3607,1505
0,3607,15872.77,0.97,0|3607,1505
3415,0,15863.12,0.97,3415|0,1505
3607,0,15872.77,0.97,3607|0,1505
0,0,0,0,0|0,1505
0,0,0,0,0|0,1508
3605,0,1728.01,0.92,3605|0,1508
3296,0,2388.22,0.93,3296|0,1508
3229,0,2729.77,0.94,3229|0,1508
1382,0,2611.42,0.94,1382|0,1508
0,3605,1728.01,0.92,0|3605,1508
3605,3605,0,0,3605|3605,1508
3296,3605,3806.07,0.97,3296|3605,1508
3229,3605,4389.62,0.98,3229|3605,1508
1382,3605,1073.01,0.9,1382|3605,1508
0,3296,2388.22,0.93,0|3296,1508
3605,3296,3806.07,0.97,3605|3296,1508
3296,3296,0,0,3296|3296,1508
3229,3296,2801.64,0.94,3229|3296,1508
1382,3296,4841.75,0.99,1382|3296,1508
0,3229,2729.77,0.94,0|3229,1508
3605,3229,4389.62,0.98,3605|3229,1508
3296,3229,2801.64,0.94,3296|3229,1508
3229,3229,0,0,3229|3229,1508
1382,3229,5064.12,1,1382|3229,1508
0,1382,2611.42,0.94,0|1382,1508
3605,1382,1073.01,0.9,3605|1382,1508
3296,1382,4841.75,0.99,3296|1382,1508
3229,1382,5064.12,1,3229|1382,1508
1382,1382,0,0,1382|1382,1508
3307,3307,0,0,3307|3307,1509
3417,3307,9131.17,1,3417|3307,1509
0,3307,4565.21,0.97,0|3307,1509
3307,3417,9131.17,1,3307|3417,1509
3417,3417,0,0,3417|3417,1509
0,3417,4565.96,0.97,0|3417,1509
3307,0,4565.21,0.97,3307|0,1509
3417,0,4565.96,0.97,3417|0,1509
0,0,0,0,0|0,1509
0,0,0,0,0|0,1512
4375,0,0,NULL,4375|0,1512
0,4375,0,NULL,0|4375,1512
4375,4375,0,0,4375|4375,1512
4147,4147,0,0,4147|4147,1514
0,4147,3584.09,0.97,0|4147,1514
3035,4147,7168.61,1,3035|4147,1514
4147,0,3584.09,0.97,4147|0,1514
0,0,0,0,0|0,1514
3035,0,3584.52,0.97,3035|0,1514
4147,3035,7168.61,1,4147|3035,1514
0,3035,3584.52,0.97,0|3035,1514
3035,3035,0,0,3035|3035,1514
0,0,0,0,0|0,1515
3597,0,0,NULL,3597|0,1515
0,3597,0,NULL,0|3597,1515
3597,3597,0,0,3597|3597,1515
3587,3587,0,0,3587|3587,1518
0,3587,2377.92,0.97,0|3587,1518
3241,3587,4755.61,1,3241|3587,1518
3587,0,2377.92,0.97,3587|0,1518
0,0,0,0,0|0,1518
3241,0,2377.68,0.97,3241|0,1518
3587,3241,4755.61,1,3587|3241,1518
0,3241,2377.68,0.97,0|3241,1518
3241,3241,0,0,3241|3241,1518
3404,3404,0,0,3404|3404,1519
2923,3404,1773.22,0.93,2923|3404,1519
0,3404,316.3,0.81,0|3404,1519
3627,3404,1020.83,0.87,3627|3404,1519
3404,2923,1773.22,0.93,3404|2923,1519
2923,2923,0,0,2923|2923,1519
0,2923,1497.78,0.9,0|2923,1519
3627,2923,2733.53,1,3627|2923,1519
3404,0,316.3,0.81,3404|0,1519
2923,0,1497.78,0.9,2923|0,1519
0,0,0,0,0|0,1519
3627,0,1242.09,0.88,3627|0,1519
3404,3627,1020.83,0.87,3404|3627,1519
2923,3627,2733.53,1,2923|3627,1519
0,3627,1242.09,0.88,0|3627,1519
3627,3627,0,0,3627|3627,1519
3570,3570,0,0,3570|3570,1521
3554,3570,13373.24,0.87,3554|3570,1521
0,3570,8950.91,0.81,0|3570,1521
4879,3570,15292.42,0.9,4879|3570,1521
4941,3570,12203.31,0.86,4941|3570,1521
2739,3570,15363.88,0.9,2739|3570,1521
3249,3570,16513.75,0.92,3249|3570,1521
3570,3554,13373.24,0.87,3570|3554,1521
3554,3554,0,0,3554|3554,1521
0,3554,12477.29,0.86,0|3554,1521
4879,3554,20005.41,0.97,4879|3554,1521
4941,3554,1909.45,0.7,4941|3554,1521
2739,3554,21476.5,0.99,2739|3554,1521
3249,3554,21891.98,1,3249|3554,1521
3570,0,8950.91,0.81,3570|0,1521
3554,0,12477.29,0.86,3554|0,1521
0,0,0,0,0|0,1521
4879,0,7969.29,0.79,4879|0,1521
4941,0,10593.01,0.83,4941|0,1521
2739,0,9110.54,0.81,2739|0,1521
3249,0,9728.69,0.82,3249|0,1521
3570,4879,15292.42,0.9,3570|4879,1521
3554,4879,20005.41,0.97,3554|4879,1521
0,4879,7969.29,0.79,0|4879,1521
4879,4879,0,0,4879|4879,1521
4941,4879,18096.23,0.94,4941|4879,1521
2739,4879,2199.74,0.71,2739|4879,1521
3249,4879,1920.64,0.7,3249|4879,1521
3570,4941,12203.31,0.86,3570|4941,1521
3554,4941,1909.45,0.7,3554|4941,1521
0,4941,10593.01,0.83,0|4941,1521
4879,4941,18096.23,0.94,4879|4941,1521
4941,4941,0,0,4941|4941,1521
2739,4941,19571.2,0.97,2739|4941,1521
3249,4941,19982.53,0.97,3249|4941,1521
3570,2739,15363.88,0.9,3570|2739,1521
3554,2739,21476.5,0.99,3554|2739,1521
0,2739,9110.54,0.81,0|2739,1521
4879,2739,2199.74,0.71,4879|2739,1521
4941,2739,19571.2,0.97,4941|2739,1521
2739,2739,0,0,2739|2739,1521
3249,2739,1400.94,0.7,3249|2739,1521
3570,3249,16513.75,0.92,3570|3249,1521
3554,3249,21891.98,1,3554|3249,1521
0,3249,9728.69,0.82,0|3249,1521
4879,3249,1920.64,0.7,4879|3249,1521
4941,3249,19982.53,0.97,4941|3249,1521
2739,3249,1400.94,0.7,2739|3249,1521
3249,3249,0,0,3249|3249,1521
3284,3284,0,0,3284|3284,1529
0,3284,834.49,0.97,0|3284,1529
3851,3284,1668.97,1,3851|3284,1529
3284,0,834.49,0.97,3284|0,1529
0,0,0,0,0|0,1529
3851,0,834.47,0.97,3851|0,1529
3284,3851,1668.97,1,3284|3851,1529
0,3851,834.47,0.97,0|3851,1529
3851,3851,0,0,3851|3851,1529
3834,3834,0,0,3834|3834,1530
3614,3834,93058.76,1,3614|3834,1530
0,3834,48162.82,0.9,0|3834,1530
3214,3834,48149.66,0.9,3214|3834,1530
2931,3834,58094.21,0.92,2931|3834,1530
3834,3614,93058.76,1,3834|3614,1530
3614,3614,0,0,3614|3614,1530
0,3614,45674.04,0.89,0|3614,1530
3214,3614,45438.89,0.89,3214|3614,1530
2931,3614,51977.38,0.91,2931|3614,1530
3834,0,48162.82,0.9,3834|0,1530
3614,0,45674.04,0.89,3614|0,1530
0,0,0,0,0|0,1530
3214,0,10997.91,0.82,3214|0,1530
2931,0,23421.84,0.84,2931|0,1530
3834,3214,48149.66,0.9,3834|3214,1530
3614,3214,45438.89,0.89,3614|3214,1530
0,3214,10997.91,0.82,0|3214,1530
3214,3214,0,0,3214|3214,1530
2931,3214,34373.75,0.87,2931|3214,1530
3834,2931,58094.21,0.92,3834|2931,1530
3614,2931,51977.38,0.91,3614|2931,1530
0,2931,23421.84,0.84,0|2931,1530
3214,2931,34373.75,0.87,3214|2931,1530
2931,2931,0,0,2931|2931,1530
2875,2875,0,0,2875|2875,1532
0,2875,5698.5,0.97,0|2875,1532
4146,2875,11397.99,1,4146|2875,1532
2875,0,5698.5,0.97,2875|0,1532
0,0,0,0,0|0,1532
4146,0,5699.49,0.97,4146|0,1532
2875,4146,11397.99,1,2875|4146,1532
0,4146,5699.49,0.97,0|4146,1532
4146,4146,0,0,4146|4146,1532
0,0,0,0,0|0,1535
2920,0,5542.8,0.97,2920|0,1535
2918,0,5542.62,0.97,2918|0,1535
0,2920,5542.8,0.97,0|2920,1535
2920,2920,0,0,2920|2920,1535
2918,2920,11085.42,1,2918|2920,1535
0,2918,5542.62,0.97,0|2918,1535
2920,2918,11085.42,1,2920|2918,1535
2918,2918,0,0,2918|2918,1535
1381,1381,0,0,1381|1381,1539
0,1381,7629.8,0.93,0|1381,1539
4670,1381,3122.67,0.88,4670|1381,1539
4131,1381,14936.5,1,4131|1381,1539
3616,1381,12490.21,0.98,3616|1381,1539
3548,1381,10282.76,0.95,3548|1381,1539
1381,0,7629.8,0.93,1381|0,1539
0,0,0,0,0|0,1539
4670,0,7643.01,0.93,4670|0,1539
4131,0,7317.19,0.92,4131|0,1539
3616,0,5120.08,0.9,3616|0,1539
3548,0,2683.7,0.88,3548|0,1539
1381,4670,3122.67,0.88,1381|4670,1539
0,4670,7643.01,0.93,0|4670,1539
4670,4670,0,0,4670|4670,1539
4131,4670,14748.62,1,4131|4670,1539
3616,4670,12763.08,0.98,3616|4670,1539
3548,4670,10271.64,0.95,3548|4670,1539
1381,4131,14936.5,1,1381|4131,1539
0,4131,7317.19,0.92,0|4131,1539
4670,4131,14748.62,1,4670|4131,1539
4131,4131,0,0,4131|4131,1539
3616,4131,3009.28,0.88,3616|4131,1539
3548,4131,4655.1,0.9,3548|4131,1539
1381,3616,12490.21,0.98,1381|3616,1539
0,3616,5120.08,0.9,0|3616,1539
4670,3616,12763.08,0.98,4670|3616,1539
4131,3616,3009.28,0.88,4131|3616,1539
3616,3616,0,0,3616|3616,1539
3548,3616,2588.51,0.87,3548|3616,1539
1381,3548,10282.76,0.95,1381|3548,1539
0,3548,2683.7,0.88,0|3548,1539
4670,3548,10271.64,0.95,4670|3548,1539
4131,3548,4655.1,0.9,4131|3548,1539
3616,3548,2588.51,0.87,3616|3548,1539
3548,3548,0,0,3548|3548,1539
0,0,0,0,0|0,1540
2477,0,5390.73,0.97,2477|0,1540
3304,0,5389.46,0.97,3304|0,1540
0,2477,5390.73,0.97,0|2477,1540
2477,2477,0,0,2477|2477,1540
3304,2477,10780.19,1,3304|2477,1540
0,3304,5389.46,0.97,0|3304,1540
2477,3304,10780.19,1,2477|3304,1540
3304,3304,0,0,3304|3304,1540
3412,3412,0,0,3412|3412,1541
3238,3412,6585.42,0.97,3238|3412,1541
0,3412,1909.97,0.9,0|3412,1541
3581,3412,3476.35,0.92,3581|3412,1541
3412,3238,6585.42,0.97,3412|3238,1541
3238,3238,0,0,3238|3238,1541
0,3238,5063.64,0.95,0|3238,1541
3581,3238,8835.06,1,3581|3238,1541
3412,0,1909.97,0.9,3412|0,1541
3238,0,5063.64,0.95,3238|0,1541
0,0,0,0,0|0,1541
3581,0,3900.68,0.93,3581|0,1541
3412,3581,3476.35,0.92,3412|3581,1541
3238,3581,8835.06,1,3238|3581,1541
0,3581,3900.68,0.93,0|3581,1541
3581,3581,0,0,3581|3581,1541
0,0,0,0,0|0,1543
3033,0,0,NULL,3033|0,1543
0,3033,0,NULL,0|3033,1543
3033,3033,0,0,3033|3033,1543
3407,3407,0,0,3407|3407,1547
0,3407,34969.17,0.97,0|3407,1547
3993,3407,69885.29,1,3993|3407,1547
3407,0,34969.17,0.97,3407|0,1547
0,0,0,0,0|0,1547
3993,0,34916.34,0.97,3993|0,1547
3407,3993,69885.29,1,3407|3993,1547
0,3993,34916.34,0.97,0|3993,1547
3993,3993,0,0,3993|3993,1547
3834,3834,0,0,3834|3834,1548
3587,3834,54409.74,0.94,3587|3834,1548
0,3834,44103.57,0.76,0|3834,1548
3241,3834,58236.16,1,3241|3834,1548
2513,3834,54405.47,0.94,2513|3834,1548
2113,3834,48147.66,0.83,2113|3834,1548
2931,3834,58094.21,1,2931|3834,1548
3834,3587,54409.74,0.94,3834|3587,1548
3587,3587,0,0,3587|3587,1548
0,3587,12402.38,0.24,0|3587,1548
3241,3587,4755.61,0.11,3241|3587,1548
2513,3587,58.36,0.03,2513|3587,1548
2113,3587,35279.23,0.62,2113|3587,1548
2931,3587,4974.45,0.11,2931|3587,1548
3834,0,44103.57,0.76,3834|0,1548
3587,0,12402.38,0.24,3587|0,1548
0,0,0,0,0|0,1548
3241,0,14862.24,0.28,3241|0,1548
2513,0,12369.67,0.24,2513|0,1548
2113,0,25399.25,0.45,2113|0,1548
2931,0,14585.94,0.27,2931|0,1548
3834,3241,58236.16,1,3834|3241,1548
3587,3241,4755.61,0.11,3587|3241,1548
0,3241,14862.24,0.28,0|3241,1548
3241,3241,0,0,3241|3241,1548
2513,3241,4723.51,0.11,2513|3241,1548
2113,3241,34898.81,0.61,2113|3241,1548
2931,3241,558.28,0.04,2931|3241,1548
3834,2513,54405.47,0.94,3834|2513,1548
3587,2513,58.36,0.03,3587|2513,1548
0,2513,12369.67,0.24,0|2513,1548
3241,2513,4723.51,0.11,3241|2513,1548
2513,2513,0,0,2513|2513,1548
2113,2513,35226.44,0.62,2113|2513,1548
2931,2513,4937.36,0.11,2931|2513,1548
3834,2113,48147.66,0.83,3834|2113,1548
3587,2113,35279.23,0.62,3587|2113,1548
0,2113,25399.25,0.45,0|2113,1548
3241,2113,34898.81,0.61,3241|2113,1548
2513,2113,35226.44,0.62,2513|2113,1548
2113,2113,0,0,2113|2113,1548
2931,2113,34372.45,0.6,2931|2113,1548
3834,2931,58094.21,1,3834|2931,1548
3587,2931,4974.45,0.11,3587|2931,1548
0,2931,14585.94,0.27,0|2931,1548
3241,2931,558.28,0.04,3241|2931,1548
2513,2931,4937.36,0.11,2513|2931,1548
2113,2931,34372.45,0.6,2113|2931,1548
2931,2931,0,0,2931|2931,1548
2964,2964,0,0,2964|2964,1549
3009,2964,27219.26,0.94,3009|2964,1549
3346,2964,68241.51,1,3346|2964,1549
0,2964,29303.5,0.94,0|2964,1549
2964,3009,27219.26,0.94,2964|3009,1549
3009,3009,0,0,3009|3009,1549
3346,3009,55338.67,0.98,3346|3009,1549
0,3009,18121.09,0.92,0|3009,1549
2964,3346,68241.51,1,2964|3346,1549
3009,3346,55338.67,0.98,3009|3346,1549
3346,3346,0,0,3346|3346,1549
0,3346,40410.25,0.96,0|3346,1549
2964,0,29303.5,0.94,2964|0,1549
3009,0,18121.09,0.92,3009|0,1549
3346,0,40410.25,0.96,3346|0,1549
0,0,0,0,0|0,1549
0,0,0,0,0|0,1552
3207,0,0,NULL,3207|0,1552
0,3207,0,NULL,0|3207,1552
3207,3207,0,0,3207|3207,1552
3235,3235,0,0,3235|3235,1553
0,3235,4004.71,0.97,0|3235,1553
3612,3235,8008.69,1,3612|3235,1553
3235,0,4004.71,0.97,3235|0,1553
0,0,0,0,0|0,1553
3612,0,4003.98,0.97,3612|0,1553
3235,3612,8008.69,1,3235|3612,1553
0,3612,4003.98,0.97,0|3612,1553
3612,3612,0,0,3612|3612,1553
4388,4388,0,0,4388|4388,1554
4428,4388,6939.72,0.82,4428|4388,1554
0,4388,716.05,0.65,0|4388,1554
3413,4388,3963.55,0.74,3413|4388,1554
3458,4388,1511.47,0.67,3458|4388,1554
2875,4388,2240.42,0.69,2875|4388,1554
2878,4388,6893.23,0.81,2878|4388,1554
4388,4428,6939.72,0.82,4388|4428,1554
4428,4428,0,0,4428|4428,1554
0,4428,7094.12,0.82,0|4428,1554
3413,4428,10172.54,0.9,3413|4428,1554
3458,4428,7022.79,0.82,3458|4428,1554
2875,4428,5302.88,0.77,2875|4428,1554
2878,4428,13730.51,1,2878|4428,1554
4388,0,716.05,0.65,4388|0,1554
4428,0,7094.12,0.82,4428|0,1554
0,0,0,0,0|0,1554
3413,0,3414.42,0.72,3413|0,1554
3458,0,2224.39,0.69,3458|0,1554
2875,0,2022.19,0.68,2875|0,1554
2878,0,6639.83,0.81,2878|0,1554
4388,3413,3963.55,0.74,4388|3413,1554
4428,3413,10172.54,0.9,4428|3413,1554
0,3413,3414.42,0.72,0|3413,1554
3413,3413,0,0,3413|3413,1554
3458,3413,5172.92,0.77,3458|3413,1554
2875,3413,4872.09,0.76,2875|3413,1554
2878,3413,3987.17,0.74,2878|3413,1554
4388,3458,1511.47,0.67,4388|3458,1554
4428,3458,7022.79,0.82,4428|3458,1554
0,3458,2224.39,0.69,0|3458,1554
3413,3458,5172.92,0.77,3413|3458,1554
3458,3458,0,0,3458|3458,1554
2875,3458,3319.01,0.72,2875|3458,1554
2878,3458,7476.85,0.83,2878|3458,1554
4388,2875,2240.42,0.69,4388|2875,1554
4428,2875,5302.88,0.77,4428|2875,1554
0,2875,2022.19,0.68,0|2875,1554
3413,2875,4872.09,0.76,3413|2875,1554
3458,2875,3319.01,0.72,3458|2875,1554
2875,2875,0,0,2875|2875,1554
2878,2875,8501.87,0.86,2878|2875,1554
4388,2878,6893.23,0.81,4388|2878,1554
4428,2878,13730.51,1,4428|2878,1554
0,2878,6639.83,0.81,0|2878,1554
3413,2878,3987.17,0.74,3413|2878,1554
3458,2878,7476.85,0.83,3458|2878,1554
2875,2878,8501.87,0.86,2875|2878,1554
2878,2878,0,0,2878|2878,1554
0,0,0,0,0|0,1556
4002,0,29468.54,0.89,4002|0,1556
3616,0,29983.95,0.9,3616|0,1556
3607,0,6795.35,0.81,3607|0,1556
0,4002,29468.54,0.89,0|4002,1556
4002,4002,0,0,4002|4002,1556
3616,4002,59051.37,1,3616|4002,1556
3607,4002,30546.06,0.9,3607|4002,1556
0,3616,29983.95,0.9,0|3616,1556
4002,3616,59051.37,1,4002|3616,1556
3616,3616,0,0,3616|3616,1556
3607,3616,31948.17,0.9,3607|3616,1556
0,3607,6795.35,0.81,0|3607,1556
4002,3607,30546.06,0.9,4002|3607,1556
3616,3607,31948.17,0.9,3616|3607,1556
3607,3607,0,0,3607|3607,1556
0,0,0,0,0|0,1620
3083,0,0,NULL,3083|0,1620
0,3083,0,NULL,0|3083,1620
3083,3083,0,0,3083|3083,1620
3108,3108,0,0,3108|3108,1621
3120,3108,6650.18,1,3120|3108,1621
3260,3108,4538.21,0.96,3260|3108,1621
0,3108,3636.12,0.94,0|3108,1621
3108,3120,6650.18,1,3108|3120,1621
3120,3120,0,0,3120|3120,1621
3260,3120,3264.53,0.94,3260|3120,1621
0,3120,3147.66,0.93,0|3120,1621
3108,3260,4538.21,0.96,3108|3260,1621
3120,3260,3264.53,0.94,3120|3260,1621
3260,3260,0,0,3260|3260,1621
0,3260,1424.78,0.9,0|3260,1621
3108,0,3636.12,0.94,3108|0,1621
3120,0,3147.66,0.93,3120|0,1621
3260,0,1424.78,0.9,3260|0,1621
0,0,0,0,0|0,1621
0,0,0,0,0|0,1625
3085,0,0,NULL,3085|0,1625
0,3085,0,NULL,0|3085,1625
3085,3085,0,0,3085|3085,1625
3368,3368,0,0,3368|3368,1628
3279,3368,9138.4,0.94,3279|3368,1628
3311,3368,3702.02,0.85,3311|3368,1628
2430,3368,1881.66,0.82,2430|3368,1628
2972,3368,7637.94,0.91,2972|3368,1628
2994,3368,3597.7,0.85,2994|3368,1628
0,3368,3170.52,0.84,0|3368,1628
4694,3368,5012.82,0.87,4694|3368,1628
3368,3279,9138.4,0.94,3368|3279,1628
3279,3279,0,0,3279|3279,1628
3311,3279,5816.23,0.88,3311|3279,1628
2430,3279,8695.39,0.93,2430|3279,1628
2972,3279,13237.14,1,2972|3279,1628
2994,3279,10769.02,0.96,2994|3279,1628
0,3279,7489.01,0.91,0|3279,1628
4694,3279,5939.45,0.89,4694|3279,1628
3368,3311,3702.02,0.85,3368|3311,1628
3279,3311,5816.23,0.88,3279|3311,1628
3311,3311,0,0,3311|3311,1628
2430,3311,2882.33,0.84,2430|3311,1628
2972,3311,8093.27,0.92,2972|3311,1628
2994,3311,5015.79,0.87,2994|3311,1628
0,3311,1808.67,0.82,0|3311,1628
4694,3311,1792.95,0.82,4694|3311,1628
3368,2430,1881.66,0.82,3368|2430,1628
3279,2430,8695.39,0.93,3279|2430,1628
3311,2430,2882.33,0.84,3311|2430,1628
2430,2430,0,0,2430|2430,1628
2972,2430,6151.76,0.89,2972|2430,1628
2994,2430,2372.44,0.83,2994|2430,1628
0,2430,1563.21,0.82,0|2430,1628
4694,2430,3603.72,0.85,4694|2430,1628
3368,2972,7637.94,0.91,3368|2972,1628
3279,2972,13237.14,1,3279|2972,1628
3311,2972,8093.27,0.92,3311|2972,1628
2430,2972,6151.76,0.89,2430|2972,1628
2972,2972,0,0,2972|2972,1628
2994,2972,4052.44,0.86,2994|2972,1628
0,2972,6325.38,0.89,0|2972,1628
4694,2972,7320.18,0.91,4694|2972,1628
3368,2994,3597.7,0.85,3368|2994,1628
3279,2994,10769.02,0.96,3279|2994,1628
3311,2994,5015.79,0.87,3311|2994,1628
2430,2994,2372.44,0.83,2430|2994,1628
2972,2994,4052.44,0.86,2972|2994,1628
2994,2994,0,0,2994|2994,1628
0,2994,3280.21,0.84,0|2994,1628
4694,2994,5100.22,0.87,4694|2994,1628
3368,0,3170.52,0.84,3368|0,1628
3279,0,7489.01,0.91,3279|0,1628
3311,0,1808.67,0.82,3311|0,1628
2430,0,1563.21,0.82,2430|0,1628
2972,0,6325.38,0.89,2972|0,1628
2994,0,3280.21,0.84,2994|0,1628
0,0,0,0,0|0,1628
4694,0,2048.58,0.82,4694|0,1628
3368,4694,5012.82,0.87,3368|4694,1628
3279,4694,5939.45,0.89,3279|4694,1628
3311,4694,1792.95,0.82,3311|4694,1628
2430,4694,3603.72,0.85,2430|4694,1628
2972,4694,7320.18,0.91,2972|4694,1628
2994,4694,5100.22,0.87,2994|4694,1628
0,4694,2048.58,0.82,0|4694,1628
4694,4694,0,0,4694|4694,1628
0,0,0,0,0|0,1629
4425,0,2263.94,0.77,4425|0,1629
4144,0,4058.89,0.8,4144|0,1629
2888,0,6435.7,0.84,2888|0,1629
3064,0,1434,0.76,3064|0,1629
3081,0,10291.84,0.9,3081|0,1629
0,4425,2263.94,0.77,0|4425,1629
4425,4425,0,0,4425|4425,1629
4144,4425,3340.02,0.79,4144|4425,1629
2888,4425,5905.11,0.83,2888|4425,1629
3064,4425,3128.9,0.79,3064|4425,1629
3081,4425,11864.65,0.93,3081|4425,1629
0,4144,4058.89,0.8,0|4144,1629
4425,4144,3340.02,0.79,4425|4144,1629
4144,4144,0,0,4144|4144,1629
2888,4144,2571.37,0.78,2888|4144,1629
3064,4144,5473.58,0.82,3064|4144,1629
3081,4144,14339.66,0.96,3081|4144,1629
0,2888,6435.7,0.84,0|2888,1629
4425,2888,5905.11,0.83,4425|2888,1629
4144,2888,2571.37,0.78,4144|2888,1629
2888,2888,0,0,2888|2888,1629
3064,2888,7869.7,0.86,3064|2888,1629
3081,2888,16573.16,1,3081|2888,1629
0,3064,1434,0.76,0|3064,1629
4425,3064,3128.9,0.79,4425|3064,1629
4144,3064,5473.58,0.82,4144|3064,1629
2888,3064,7869.7,0.86,2888|3064,1629
3064,3064,0,0,3064|3064,1629
3081,3064,8921.71,0.88,3081|3064,1629
0,3081,10291.84,0.9,0|3081,1629
4425,3081,11864.65,0.93,4425|3081,1629
4144,3081,14339.66,0.96,4144|3081,1629
2888,3081,16573.16,1,2888|3081,1629
3064,3081,8921.71,0.88,3064|3081,1629
3081,3081,0,0,3081|3081,1629
3316,3316,0,0,3316|3316,1630
